epoch;ka_epoch;co_epoch;train_loss;test_loss;train_acc;test_acc;num_svs_rbf;num_svs_qsvm;loss_type;roc_auc_train;roc_auc_test
;;;0,9986348152160645;0,999223530292511;0,5600000023841858;0,5249999761581421;61,0;57,0;eval_two_centroids;0,6642411642411643;0,5864661654135338
0,0;0,0;;1,4788732528686523;1,0504093170166016;;;;;ka_single_centroid;;
0,0;;0,0;0,5208566188812256;0,9493961334228516;;;;;co_single_centroid;;
0,0;;;0,9982378482818604;0,9989862442016602;0,5799999833106995;0,550000011920929;61,0;57,0;eval_two_centroids;0,656964656964657;0,5789473684210527
1,0;0,0;;0,5219537615776062;0,9507521986961365;;;;;ka_single_centroid;;
1,0;;0,0;1,4768548011779785;1,048719882965088;;;;;co_single_centroid;;
1,0;;;0,997869610786438;0,9988470673561096;0,5600000023841858;0,5249999761581421;61,0;57,0;eval_two_centroids;0,6611226611226612;0,5814536340852131
